lwage,yob,draftelig,veteran
2.2843001,50,0,0
5.5686998,50,0,0
5.2672,50,0,1
5.8931999,50,0,1
5.7897,50,1,0
4.8074002,50,0,0
5.4330001,50,0,0
5.9805002,50,0,0
5.6683002,50,1,1
4.2729001,50,0,1
5.7048001,50,1,0
4.7726998,50,0,1
5.1483002,50,0,0
5.4891,50,0,0
6.1479001,50,1,0
5.6134,50,0,0
5.8227,50,0,0
5.9847999,50,0,0
-4.3432999,50,0,0
5.8227,50,0,0
5.5816002,50,0,0
5.8822999,50,1,1
5.6974001,50,0,0
5.9656,50,0,0
3.8029001,50,0,1
5.9563999,50,1,0
6.1540999,50,0,1
6.0833001,50,0,0
5.1686001,50,1,1
5.5351,50,0,0
6.0121002,50,1,1
6.4036002,50,0,0
5.5591998,50,1,1
5.2073002,50,0,0
5.3069,50,1,1
5.8431001,50,0,0
1.5146,50,1,1
5.6079998,50,0,0
4.4015999,50,0,1
5.8579001,50,0,0
5.7424998,50,0,0
5.8439002,50,0,0
5.7181001,50,0,1
5.6668,50,0,0
5.8227,50,1,0
6.0246,50,1,0
5.3544002,50,0,0
5.8821998,50,1,1
5.7516999,50,0,1
4.0953002,50,0,0
6.1700001,50,0,0
5.9453001,50,1,0
5.1008,50,1,1
5.934,50,0,0
4.8884001,50,1,0
5.7904,50,1,0
5.987,50,0,1
5.079,50,0,0
5.9668002,50,0,0
5.395,50,0,0
5.901,50,0,0
5.6554999,50,1,1
4.5302,50,0,1
6.0882001,50,0,0
5.7080002,50,0,0
4.8305998,50,0,0
5.4863,50,0,0
5.6999002,50,0,1
6.1981001,50,0,0
5.1553001,50,0,0
5.3520999,50,0,1
5.1978002,50,0,0
5.7188001,50,0,0
5.3617001,50,0,1
6.1198001,50,1,1
6.5749998,50,0,0
5.3323002,50,0,0
5.8133998,50,0,0
5.6967001,50,1,1
5.9200001,50,0,1
5.5602002,50,0,0
5.9686999,50,0,1
5.2579999,50,1,0
5.5855999,50,0,0
6.3485999,50,0,0
5.6686001,50,0,1
5.5686998,50,1,1
5.9521999,50,1,0
4.4046001,50,0,1
4.1392002,50,0,1
4.9580002,50,1,0
6.0458999,50,0,1
5.3178,50,0,1
5.9200001,50,0,0
5.4303999,50,0,1
4.6122999,50,1,0
5.9219999,50,0,1
6.4025998,50,0,0
5.7108998,50,1,1
6.0254002,50,0,0
5.7832999,50,0,0
5.3512998,50,1,1
6.0323,50,1,1
5.1355,50,1,0
5.2073002,50,0,0
4.5830002,50,0,0
5.1718998,50,0,0
5.4349999,50,0,0
6.4224,50,0,0
6.1476002,50,0,0
5.2591,50,1,0
4.8625002,50,0,0
5.4263,50,1,0
6.0169001,50,0,0
5.8178,50,0,0
5.6261001,50,0,1
6.0521002,50,1,0
5.6999002,50,0,1
5.4414001,50,0,0
5.9569998,50,1,0
5.6630998,50,0,0
4.5476999,50,1,0
5.9665999,50,0,0
5.8916998,50,0,0
5.6461,50,0,1
5.0250001,50,0,0
6.1233001,50,0,0
5.4414001,50,0,0
5.4496002,50,0,0
5.5145998,50,0,1
5.6128001,50,0,1
5.6928,50,1,0
5.8225002,50,1,1
5.5137,50,0,0
5.711,50,0,0
5.9014001,50,1,1
5.7302999,50,0,0
5.7832999,50,0,1
5.4926,50,0,0
5.3968,50,1,1
2.4519,50,0,1
5.8822999,50,0,0
5.6128001,50,0,0
6.1280999,50,0,0
5.9998002,50,1,1
5.0177002,50,1,0
5.3369999,50,0,1
5.9268999,50,0,0
5.3808999,50,1,1
6.1300998,50,0,0
5.6259999,50,0,0
5.5732002,50,1,1
5.5773001,50,1,1
6.6588001,50,1,0
5.5956001,50,1,1
5.7047,50,1,1
5.2447,50,1,1
5.6259999,50,0,0
